supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
SN2018zd,IIn,0.00298,B,56,1.0964781961431828e-06,58302.4245134252,59137.02559344153,0.14424708139568615,3.977428261747446e-07,6.095246876810025,6.968505839357041
SN2018zd,IIn,0.00298,V,72,2.1004870095956766e-06,58301.344578900374,58909.376275895294,0.2799455783593496,7.343275899679847e-07,8.027033361512418,8.902533954859384
SN2018zd,IIn,0.00298,r,80,2.380345510022515e-06,58300.91916913807,58930.362218062444,1.0018114589500255,-1.4029776274657303e-06,6.569968906141188,7.298333803118231
SN2011fx,IIn,0.0193,R,48,5.395106225151268e-08,56265.337,56827.990369422194,2.5933725144851403e-13,0.5463228632401902,9.999999998437263,30.000000000519176
SN2020iq,IIn,0.096,G,35,5.5975760149511044e-08,58866.6709,59455.337608999995,-6.50777268869922e-05,0.6825783035630412,9.999999999999998,30.0
PS15cww,IIn,0.063,G,21,4.207266283844429e-08,57169.66294918388,57429.68865680794,45.609514066545316,6.765123960670827e-05,60.16866992630247,9.410130733444355
PS15cww,IIn,0.063,w,40,7.919176089979044e-08,57299.38902685755,57830.9356251773,236.49485225007572,-4.167560351549527e-06,24.34162132153289,99.99999999999999
SN2018civ,IIn,0.026,G,13,3.564511334262439e-08,58288.404078416184,57993.82087572502,1.488486955807681,-2.9480604638303587e-06,99.99133420438986,0.36755415768879185
SN2019ejp,IIn,0.118,G,17,2.5822601906345957e-08,58318.31669473672,59243.667868473814,68.98622877802265,-1.878350922443642e-06,99.99628347970878,24.561987882349257
SN2008bm,IIn,0.032,V,17,9.053155916484836e-08,54616.34580266445,55627.51365182867,0.01758018272215156,1.4372324345695442e-05,6.857299741111691,7.985849096805883
SN2021bn,IIn,0.07593,G,12,7.046930689671466e-08,59231.325175487196,62406.37214945994,1.1458684334477938,3.5738741958013964e-08,69.44458168489274,11.00044154691996
